year;month;QUINCENA;FC;Labels;Labels 2
2022;1;1;0.65859;E22-1;2022
2022;1;2;;E-2;
2022;2;1;0.62291;F-1;F
2022;2;2;0.59978;F-2;
2022;3;1;0.62246;M-1;M
2022;3;2;0.59302;M-2;
2022;4;1;0.59369;A-1;A
2022;4;2;0.6214;A-2;
2022;5;1;0.58799;M-1;M
2022;5;2;0.65409;M-2;
2022;6;1;0.62019;Jn-1;J
2022;6;2;0.65516;Jn-2;
2022;7;1;0.63572;Jl-1;J
2022;7;2;0.59373;Jl-2;
2022;8;1;0.61436;A-1;A
2022;8;2;0.60837;A-2;
2022;9;1;0.57885;S-1;S
2022;9;2;0.56212;S-2;
2022;10;1;0.60627;O-1;O
2022;10;2;0.62544;O-2;
2022;11;1;0.63952;N-1;N
2022;11;2;0.61521;N-2;
2022;12;1;0.61954;D-1;D
2022;12;2;0.59611;D-2;
2023;1;1;0.58963;E23-1;2023
2023;1;2;0.60218;E-2;
2023;2;1;0.60139;F-1;F
2023;2;2;0.51857;F-2;
2023;3;1;0.58286;M-1;M
2023;3;2;0.58401;M-2;
2023;4;1;0.60215;A-1;A
2023;4;2;0.6031;A-2;
2023;5;1;0.6077;M-1;M
2023;5;2;0.6111;M-2;
2023;6;1;0.63;Jn-1;J
2023;6;2;0.6293;Jn-2;
2023;7;1;0.6107;Jl-1;J
2023;7;2;0.609;Jl-2;
2023;8;1;0.6049;A-1;A
2023;8;2;0.61218;A-2;
2023;9;1;;S-1;S
2023;9;2;;S-2;
2023;10;1;;O-1;O
2023;10;2;;O-2;
2023;11;1;;N-1;N
2023;11;2;;N-2;
2023;12;1;;D-1;D
2023;12;2;;D-2;
