label;year
E92;1992
F;1992
M;1992
A;1992
My;1992
Jn;1992
Jl;1992
Ag;1992
S;1992
O;1992
N;1992
D;1992
E93;1993
F;1993
M;1993
A;1993
My;1993
Jn;1993
Jl;1993
Ag;1993
S;1993
O;1993
N;1993
D;1993
E94;1994
F;1994
M;1994
A;1994
My;1994
Jn;1994
Jl;1994
Ag;1994
S;1994
O;1994
N;1994
D;1994
E95;1995
F;1995
M;1995
A;1995
My;1995
Jn;1995
Jl;1995
Ag;1995
S;1995
O;1995
N;1995
D;1995
E96;1996
F;1996
M;1996
A;1996
My;1996
Jn;1996
Jl;1996
Ag;1996
S;1996
O;1996
N;1996
D;1996
E97;1997
F;1997
M;1997
A;1997
My;1997
Jn;1997
Jl;1997
Ag;1997
S;1997
O;1997
N;1997
D;1997
E98;1998
F;1998
M;1998
A;1998
My;1998
Jn;1998
Jl;1998
Ag;1998
S;1998
O;1998
N;1998
D;1998
E99;1999
F;1999
M;1999
A;1999
My;1999
Jn;1999
Jl;1999
Ag;1999
S;1999
O;1999
N;1999
D;1999
E00;2000
F;2000
M;2000
A;2000
My;2000
Jn;2000
Jl;2000
Ag;2000
S;2000
O;2000
N;2000
D;2000
E01;2001
F;2001
M;2001
A;2001
My;2001
Jn;2001
Jl;2001
Ag;2001
S;2001
O;2001
N;2001
D;2001
E02;2002
F;2002
M;2002
A;2002
My;2002
Jn;2002
Jl;2002
Ag;2002
S;2002
O;2002
N;2002
D;2002
E03;2003
F;2003
M;2003
A;2003
My;2003
Jn;2003
Jl;2003
Ag;2003
S;2003
O;2003
N;2003
D;2003
E04;2004
F;2004
M;2004
A;2004
My;2004
Jn;2004
Jl;2004
Ag;2004
S;2004
O;2004
N;2004
D;2004
E05;2005
F;2005
M;2005
A;2005
My;2005
Jn;2005
Jl;2005
Ag;2005
S;2005
O;2005
N;2005
D;2005
E06;2006
F;2006
M;2006
A;2006
My;2006
Jn;2006
Jl;2006
Ag;2006
S;2006
O;2006
N;2006
D;2006
E07;2007
F;2007
M;2007
A;2007
My;2007
Jn;2007
Jl;2007
Ag;2007
S;2007
O;2007
N;2007
D;2007
E08;2008
F;2008
M;2008
A;2008
My;2008
Jn;2008
Jl;2008
Ag;2008
S;2008
O;2008
N;2008
D;2008
E09;2009
F;2009
M;2009
A;2009
My;2009
Jn;2009
Jl;2009
Ag;2009
S;2009
O;2009
N;2009
D;2009
E10;2010
F;2010
M;2010
A;2010
My;2010
Jn;2010
Jl;2010
Ag;2010
S;2010
O;2010
N;2010
D;2010
E11;2011
F;2011
M;2011
A;2011
My;2011
Jn;2011
Jl;2011
Ag;2011
S;2011
O;2011
N;2011
D;2011
E12;2012
F;2012
M;2012
A;2012
My;2012
Jn;2012
Jl;2012
Ag;2012
S;2012
O;2012
N;2012
D;2012
E13;2013
F;2013
M;2013
A;2013
My;2013
Jn;2013
Jl;2013
Ag;2013
S;2013
O;2013
N;2013
D;2013
E14;2014
F;2014
M;2014
A;2014
My;2014
Jn;2014
Jl;2014
Ag;2014
S;2014
O;2014
N;2014
D;2014
E15;2015
F;2015
M;2015
A;2015
My;2015
Jn;2015
Jl;2015
Ag;2015
S;2015
O;2015
N;2015
D;2015
E16;2016
F;2016
M;2016
A;2016
My;2016
Jn;2016
Jl;2016
Ag;2016
S;2016
O;2016
N;2016
D;2016
E17;2017
F;2017
M;2017
A;2017
My;2017
Jn;2017
Jl;2017
Ag;2017
S;2017
O;2017
N;2017
D;2017
E18;2018
F;2018
M;2018
A;2018
My;2018
Jn;2018
Jl;2018
Ag;2018
S;2018
O;2018
N;2018
D;2018
E19;2019
F;2019
M;2019
A;2019
My;2019
Jn;2019
Jl;2019
Ag;2019
S;2019
O;2019
N;2019
D;2019
E20;2020
F;2020
M;2020
A;2020
My;2020
J;2020
Jl;2020
Ag;2020
S;2020
O;2020
N;2020
D;2020
E21;2021
F;2021
M;2021
A;2021
My;2021
J;2021
Jl;2021
Ag;2021
S;2021
O;2021
N;2021
D;2021
E22;2022
F;2022
M;2022
A;2022
My;2022
J;2022
Jl;2022
Ag;2022
S;2022
O;2022
N;2022
D;2022
E23;2023
F;2023
M;2023
A;2023
My;2023
J;2023
Jl;2023
Ag;2023
S;2023
O;2023
N;2023
D;2023
